time,year,species,port,landings,month,species_group
1986-09-16 00:00:00+00:00,1986,"abalone, black",Eureka,5722,9,Abalone
1986-10-16 00:00:00+00:00,1986,"abalone, black",Eureka,198,10,Abalone
1988-07-16 00:00:00+00:00,1988,"abalone, black",Eureka,483,7,Abalone
1989-06-16 00:00:00+00:00,1989,"abalone, black",Eureka,560,6,Abalone
1989-07-16 00:00:00+00:00,1989,"abalone, black",Eureka,501,7,Abalone
1989-09-16 00:00:00+00:00,1989,"abalone, black",Eureka,1118,9,Abalone
1972-01-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,300,1,Abalone
1972-02-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,1325,2,Abalone
1972-03-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,187,3,Abalone
1972-04-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,12449,4,Abalone
1972-05-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,24052,5,Abalone
1972-06-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,47044,6,Abalone
1972-07-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,9791,7,Abalone
1972-08-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,337,8,Abalone
1972-09-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,8449,9,Abalone
1972-10-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,2551,10,Abalone
1972-11-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,3124,11,Abalone
1972-12-16 00:00:00+00:00,1972,"abalone, black",Los Angeles,20399,12,Abalone
1973-01-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,7235,1,Abalone
1973-03-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,3137,3,Abalone
1973-04-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,19920,4,Abalone
1973-05-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,85991,5,Abalone
1973-06-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,168992,6,Abalone
1973-07-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,83492,7,Abalone
1973-08-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,192,8,Abalone
1973-09-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,43799,9,Abalone
1973-10-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,31888,10,Abalone
1973-11-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,12762,11,Abalone
1973-12-16 00:00:00+00:00,1973,"abalone, black",Los Angeles,11507,12,Abalone
1974-01-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,39451,1,Abalone
1974-02-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,2837,2,Abalone
1974-03-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,21066,3,Abalone
1974-04-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,17704,4,Abalone
1974-05-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,32003,5,Abalone
1974-06-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,21999,6,Abalone
1974-07-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,94521,7,Abalone
1974-09-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,68373,9,Abalone
1974-10-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,30550,10,Abalone
1974-11-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,4315,11,Abalone
1974-12-16 00:00:00+00:00,1974,"abalone, black",Los Angeles,812,12,Abalone
1975-01-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,9118,1,Abalone
1975-03-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,3955,3,Abalone
1975-04-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,18159,4,Abalone
1975-05-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,14823,5,Abalone
1975-06-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,5613,6,Abalone
1975-07-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,10478,7,Abalone
1975-08-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,500,8,Abalone
1975-09-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,7566,9,Abalone
1975-10-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,2321,10,Abalone
1975-11-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,8119,11,Abalone
1975-12-16 00:00:00+00:00,1975,"abalone, black",Los Angeles,10515,12,Abalone
1976-01-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,5976,1,Abalone
1976-03-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,4498,3,Abalone
1976-04-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,836,4,Abalone
1976-05-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,2351,5,Abalone
1976-06-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,14084,6,Abalone
1976-07-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,24424,7,Abalone
1976-09-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,8933,9,Abalone
1976-10-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,5518,10,Abalone
1976-11-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,12888,11,Abalone
1976-12-16 00:00:00+00:00,1976,"abalone, black",Los Angeles,6178,12,Abalone
1977-01-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,5884,1,Abalone
1977-03-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,34,3,Abalone
1977-04-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,2495,4,Abalone
1977-05-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,8432,5,Abalone
1977-06-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,18327,6,Abalone
1977-07-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,18400,7,Abalone
1977-08-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,12,8,Abalone
1977-09-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,10613,9,Abalone
1977-10-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,7073,10,Abalone
1977-11-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,4595,11,Abalone
1977-12-16 00:00:00+00:00,1977,"abalone, black",Los Angeles,7740,12,Abalone
1978-01-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,4130,1,Abalone
1978-02-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,383,2,Abalone
1978-03-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,9102,3,Abalone
1978-04-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,12097,4,Abalone
1978-05-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,9614,5,Abalone
1978-06-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,13902,6,Abalone
1978-07-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,39072,7,Abalone
1978-08-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,1818,8,Abalone
1978-09-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,3593,9,Abalone
1978-10-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,12645,10,Abalone
1978-11-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,15454,11,Abalone
1978-12-16 00:00:00+00:00,1978,"abalone, black",Los Angeles,15169,12,Abalone
1979-01-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,9280,1,Abalone
1979-02-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,1834,2,Abalone
1979-03-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,8151,3,Abalone
1979-04-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,6582,4,Abalone
1979-05-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,9471,5,Abalone
1979-06-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,10027,6,Abalone
1979-07-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,7996,7,Abalone
1979-08-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,1121,8,Abalone
1979-09-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,8632,9,Abalone
1979-10-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,7331,10,Abalone
1979-11-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,15114,11,Abalone
1979-12-16 00:00:00+00:00,1979,"abalone, black",Los Angeles,27678,12,Abalone
1980-01-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,12408,1,Abalone
1980-02-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,2052,2,Abalone
1980-03-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,18551,3,Abalone
1980-04-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,5870,4,Abalone
1980-05-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,4676,5,Abalone
1980-06-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,38067,6,Abalone
1980-07-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,32834,7,Abalone
1980-08-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,4170,8,Abalone
1980-09-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,17643,9,Abalone
1980-10-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,7323,10,Abalone
1980-11-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,10908,11,Abalone
1980-12-16 00:00:00+00:00,1980,"abalone, black",Los Angeles,16759,12,Abalone
1981-01-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,11274,1,Abalone
1981-03-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,2848,3,Abalone
1981-04-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,18193,4,Abalone
1981-05-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,18961,5,Abalone
1981-06-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,17969,6,Abalone
1981-07-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,39952,7,Abalone
1981-08-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,1184,8,Abalone
1981-09-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,6129,9,Abalone
1981-10-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,10418,10,Abalone
1981-11-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,1939,11,Abalone
1981-12-16 00:00:00+00:00,1981,"abalone, black",Los Angeles,4911,12,Abalone
1982-01-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,15177,1,Abalone
1982-02-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,1037,2,Abalone
1982-03-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,13755,3,Abalone
1982-04-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,15286,4,Abalone
1982-05-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,41222,5,Abalone
1982-06-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,21804,6,Abalone
1982-07-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,14560,7,Abalone
1982-08-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,1997,8,Abalone
1982-09-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,7878,9,Abalone
1982-10-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,10259,10,Abalone
1982-11-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,13250,11,Abalone
1982-12-16 00:00:00+00:00,1982,"abalone, black",Los Angeles,11142,12,Abalone
1983-01-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,5516,1,Abalone
1983-03-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,301,3,Abalone
1983-04-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,19081,4,Abalone
1983-05-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,10047,5,Abalone
1983-06-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,14329,6,Abalone
1983-07-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,36767,7,Abalone
1983-08-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,3525,8,Abalone
1983-09-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,13252,9,Abalone
1983-10-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,7959,10,Abalone
1983-11-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,2495,11,Abalone
1983-12-16 00:00:00+00:00,1983,"abalone, black",Los Angeles,3999,12,Abalone
1984-01-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,9550,1,Abalone
1984-02-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,515,2,Abalone
1984-03-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,6739,3,Abalone
1984-04-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,2127,4,Abalone
1984-05-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,17570,5,Abalone
1984-06-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,10246,6,Abalone
1984-07-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,14866,7,Abalone
1984-08-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,1421,8,Abalone
1984-09-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,12181,9,Abalone
1984-10-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,5336,10,Abalone
1984-11-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,2706,11,Abalone
1984-12-16 00:00:00+00:00,1984,"abalone, black",Los Angeles,8503,12,Abalone
1985-01-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,4590,1,Abalone
1985-02-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,95,2,Abalone
1985-03-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,4456,3,Abalone
1985-04-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,10564,4,Abalone
1985-05-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,16657,5,Abalone
1985-06-16 00:00:00+00:00,1985,"abalone, black",Los Angeles,17641,6,Abalone
