time,year,species,port,landings
1944-03-16 00:00:00+00:00,1944,"oyster, eastern",San Francisco,9684
1958-06-16 00:00:00+00:00,1958,"shrimp, pacific ocean",San Francisco,60273
1963-08-16 00:00:00+00:00,1963,"shrimp, pacific ocean",San Francisco,12530
1976-03-16 00:00:00+00:00,1976,"abalone, green",Los Angeles,10578
1994-10-16 00:00:00+00:00,1994,"crab, rock",San Francisco,6993
1929-09-16 00:00:00+00:00,1929,"clam, unspecified",All,6848
1951-04-16 00:00:00+00:00,1951,"oyster, giant pacific",San Francisco,14922
1976-03-16 00:00:00+00:00,1976,"abalone, pink",Santa Barbara,16628
1952-02-16 00:00:00+00:00,1952,"crab, rock",All,345
1989-07-16 00:00:00+00:00,1989,"clam, california jackknife",All,679
1980-01-16 00:00:00+00:00,1980,"abalone, threaded",All,4
1933-11-16 00:00:00+00:00,1933,"clam, pismo",Santa Barbara,5217
1983-05-16 00:00:00+00:00,1983,"shrimp, unspecified",All,2
2002-04-16 00:00:00+00:00,2002,"crab, dungeness",Eureka,37322
1984-09-16 00:00:00+00:00,1984,"prawn, spotted",Monterey,161
1939-10-16 00:00:00+00:00,1939,"clam, native littleneck",All,1786
1983-10-16 00:00:00+00:00,1983,"crab, spider",Santa Barbara,3751
1949-04-16 00:00:00+00:00,1949,"clam, common washington",All,832
1963-07-16 00:00:00+00:00,1963,"abalone, unspecified",Monterey,342
1996-11-16 00:00:00+00:00,1996,"crab, dungeness",All,719829
1933-01-16 00:00:00+00:00,1933,"crab, rock",All,190
1984-09-16 00:00:00+00:00,1984,"crab, rock",Santa Barbara,44957
1994-04-16 00:00:00+00:00,1994,"crab, dungeness",Monterey,3466
1986-01-16 00:00:00+00:00,1986,"shrimp, bay",Monterey,160
1940-05-16 00:00:00+00:00,1940,"oyster, giant pacific",Santa Barbara,5164
1988-09-16 00:00:00+00:00,1988,"clam, california jackknife",Los Angeles,371
1936-09-16 00:00:00+00:00,1936,"clam, native littleneck",All,1862
1994-04-16 00:00:00+00:00,1994,"crab, spider",All,3927
1937-10-16 00:00:00+00:00,1937,"oyster, giant pacific",All,71103
1961-12-16 00:00:00+00:00,1961,"clam, california jackknife",All,124
1958-10-16 00:00:00+00:00,1958,"crab, rock",All,12387
1980-07-16 00:00:00+00:00,1980,"crab, dungeness",All,30189
1980-07-16 00:00:00+00:00,1980,"oyster, giant pacific",All,51725
