Number,Species
0,"Abalone, Black"
1,"Abalone, Flat"
2,"Abalone, Green"
3,"Abalone, Pink"
4,"Abalone, Pinto"
5,"Abalone, Red"
6,"Abalone, Threaded"
7,"Abalone, Unspecified"
8,"Abalone, White"
9,"Anchovy, Deepbody"
10,"Anchovy, Northern"
11,Barnacle
12,"Barracuda, California"
13,"Bass, Barred Sand"
14,"Bass, Giant Sea"
15,"Bass, Kelp"
16,"Bass, Rock"
17,"Bass, Spotted Sand"
18,"Bass, Striped"
19,"Blackfish, Sacramento"
20,Blacksmith
21,Bonefish
22,"Bonito, Pacific"
23,Box Crab
24,"Butterfish, Pacific"
25,Cabezon
26,"Cabrilla, Spotted"
27,Carp
28,Catfish
29,Chiton
30,"Clam, California Jackknife"
31,"Clam, Common Washington"
32,"Clam, Gaper"
33,"Clam, Native Littleneck"
34,"Clam, Nothern Razor"
35,"Clam, Pismo"
36,"Clam, Purple"
37,"Clam, Rosy Razor"
38,"Clam, Soft Shelled"
39,"Clam, Unspecified"
40,"Cod, Pacific"
41,"Corbina, California"
42,"Corvina, Shortfin"
43,"Crab, Brown Rock"
44,"Crab, Claws"
45,"Crab, Dungeness"
46,"Crab, King"
47,"Crab, Pelagic Red"
48,"Crab, Red Rock"
49,"Crab, Rock"
50,"Crab, Sand"
51,"Crab, Shore"
52,"Crab, Spider"
53,"Crab, Tanner"
54,"Crab, Yellow Rock"
55,Crayfish
56,"Croaker, Black"
57,"Croaker, Various Species"
58,"Croaker, White"
59,"Croaker, Yellowfin"
60,"Crustacean, Unspecified"
61,"Cucumber, Sea"
62,"Cusk-Eel, Spotted"
63,Dolphinfish
64,"Echinod, Unspecified"
65,Eel
66,"Eel, Blenny"
67,"Eel, California Moray"
68,Escolar
69,Eulachon
70,"Flounder, Arrowtooth"
71,"Flounder, Starry"
72,"Flounder, Unclassified"
73,Flyingfish
74,Frogs
75,Garibaldi
76,"Goby, Bluebanded"
77,"Goby, Yellowfin"
78,"Greenling, Kelp"
79,Grenadiers
80,Grouper
81,"Grouper, Broomtail"
82,"Grunion, California"
83,"Guitarfish, Shovelnose"
84,Hagfish
85,Halfmoon
86,"Halibut, California"
87,"Halibut, Pacific"
88,"Halibut, Unspecified"
89,Hardhead
90,Herring Roe On Kelp
91,"Herring, Pacific"
92,"Herring, Round"
93,"Herring, Whole Fish With Roe"
94,Hitch
95,"Invertebrates, Colonial"
96,Jack Crevalle
97,Jacks
98,Kahawai
99,Kelpfishes
100,"Killifish, California"
101,"Limpet, Unspecified"
102,Lingcod
103,"Lizardfish, California"
104,"Lobster, California Spiny"
105,Louvar
106,"Mackerel, Bullet"
107,"Mackerel, Jack"
108,"Mackerel, Pacific"
109,"Mackerel, Unspecified"
110,"Marlin, Striped"
111,"Midshipman, Plainfin"
112,"Mola, Common"
113,"Mollusk, Unspecified"
114,Monkeyface Eel
115,"Mudsucker, Longjaw"
116,"Mullet, Striped"
117,Mussel
118,"Needlefish, California"
119,"Octopus, Unspecified"
120,Oilfish
121,Opah
122,Opaleye
123,"Oyster, California"
124,"Oyster, Eastern"
125,"Oyster, European Flat"
